Year,PerCapita
2017,38967.187968052225
2018,39805.89611198148
2019,40644.6042559105
2020,41483.31239983975
2021,42322.02054376877
2022,43160.72868769802
2023,43999.43683162704
2024,44838.14497555629
2025,45676.85311948531
